image	English query	German query
https://tlk.s3.yandex.net/Fashion-200K/91009238_0.jpeg	black printed jogger pants, think waistband	schwarze bedruckte Joggerhose, Denkbund
https://tlk.s3.yandex.net/Fashion-200K/82865781_0.jpeg	red cut out sleeveless crop top with black mini skater skirt	rotes ärmelloses Crop-Top mit Ausschnitt und schwarzem Mini-Skaterrock
https://tlk.s3.yandex.net/Fashion-200K/91115200_1.jpeg	brown midi flowy skirt, formal wear	brauner, fließender Midi-Rock, formelle Kleidung
https://tlk.s3.yandex.net/Fashion-200K/89168296_0.jpeg	blue button up formal top, long sleeves	blaues formelles Oberteil mit Knöpfen, lange Ärmel
https://tlk.s3.yandex.net/Fashion-200K/90826148_1.jpeg	white lace long dress, round neck	weißes langes Spitzenkleid, Rundhalsausschnitt
https://tlk.s3.yandex.net/Fashion-200K/90370914_0.jpeg	yellow summer printed loose pants, cotton	gelbe sommerlich bedruckte weite Hose, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/91243300_1.jpeg	black sturdy leather jacket, biker jacket	schwarze robuste Lederjacke, Bikerjacke
https://tlk.s3.yandex.net/Fashion-200K/90704698_4.jpeg	beige corduroy pants with back pockets	beige Cordhose mit Gesäßtaschen
https://tlk.s3.yandex.net/Fashion-200K/89869663_0.jpeg	black midi flowy skirt, ribbon waistband	schwarzer, fließender Midi-Rock, Bändchenbund
https://tlk.s3.yandex.net/Fashion-200K/91248548_2.jpeg	black sturdy leather skirt, midi, pencil skirt	schwarzer robuster Lederrock, Midi, Bleistiftrock
https://tlk.s3.yandex.net/Fashion-200K/90952904_0.jpeg	black flowy long sleeved top, vneckling with strings	schwarzes fließendes Langarmshirt, Ausschnitt mit Schnüren
https://tlk.s3.yandex.net/Fashion-200K/43911612_5.jpeg	black printed loose pants, cotton, formal wear	schwarz bedruckte weite Hose, Baumwolle, formelle Kleidung
https://tlk.s3.yandex.net/Fashion-200K/91039499_0.jpeg	orange mini casual dress, sleeveless, spaghetti strap	orangefarbenes Minikleid, ärmellos, Spaghettiträger
https://tlk.s3.yandex.net/Fashion-200K/90482139_0.jpeg	black short sleeved shirt, printed outline	schwarzes Kurzarmhemd, gedruckte Outline
https://tlk.s3.yandex.net/Fashion-200K/87685780_0.jpeg	black flowy capri pants, satin, formal wear	schwarze fließende Caprihose, Satin, formelle Kleidung
https://tlk.s3.yandex.net/Fashion-200K/68876241_4.jpeg	black thick winter jacket, fur material	schwarze dicke Winterjacke, Pelzmaterial
https://tlk.s3.yandex.net/Fashion-200K/91419853_0.jpeg	black long sleeved dress, closed neck	schwarzes langärmeliges Kleid, geschlossener Halsausschnitt
https://tlk.s3.yandex.net/Fashion-200K/54918549_0.jpeg	white button down, black loose formal slacks	weiße Knopfleiste, schwarze lockere formelle Hose
https://tlk.s3.yandex.net/Fashion-200K/77661863_4.jpeg	white formal wear slacks with pockets	weiße Abendgarderobe Hosen mit Taschen
https://tlk.s3.yandex.net/Fashion-200K/88362605_1.jpeg	violet thick winter jacket, cropped jacket	violette dicke Winterjacke, kurze Jacke
https://tlk.s3.yandex.net/Fashion-200K/90969922_1.jpeg	pink flowy printed skirt, summer skirt, asymmetrical	rosa fließend bedruckter Rock, Sommerrock, asymmetrisch
https://tlk.s3.yandex.net/Fashion-200K/91279932_3.jpeg	white button down, formal wear top, office shirt	weißes Button-down, formelles Oberteil, Bürohemd
https://tlk.s3.yandex.net/Fashion-200K/90325557_0.jpeg	peach thick winter coat, wool, fur material, long sleeves	pfirsich dicker Wintermantel, Wolle, Pelzmaterial, lange Ärmel
https://tlk.s3.yandex.net/Fashion-200K/90558873_0.jpeg	beige midi fitted skirt, pencil skirt, office skirt	beiger Midirock, Bleistiftrock, Bürorock
https://tlk.s3.yandex.net/Fashion-200K/89725180_0.jpeg	gray denim casual pants, cutout design	graue Denim-Freizeithose, Ausschnitt-Design
https://tlk.s3.yandex.net/Fashion-200K/88672146_1.jpeg	red sleeveless flowy top, v neckline	rotes ärmelloses fließendes Top, V-Ausschnitt
https://tlk.s3.yandex.net/Fashion-200K/87724489_3.jpeg	white long flowy skirt, summer skirt	weißer langer fließender Rock, Sommerrock
https://tlk.s3.yandex.net/Fashion-200K/91135942_0.jpeg	long black evening dress, low neckline	langes schwarzes Abendkleid, tiefer Ausschnitt
https://tlk.s3.yandex.net/Fashion-200K/91188276_0.jpeg	long blue printed flowy dress, sleeveless	langes, blau bedrucktes, fließendes Kleid, ärmellos
https://tlk.s3.yandex.net/Fashion-200K/82965113_2.jpeg	black sturdy leather jacket, biker jacket	schwarze robuste Lederjacke, Bikerjacke
https://tlk.s3.yandex.net/Fashion-200K/88281610_2.jpeg	blue sturdy leather jacket, biker jacket	blaue robuste Lederjacke, Bikerjacke
https://tlk.s3.yandex.net/Fashion-200K/91215437_0.jpeg	red flowy crop top, spaghetti strap, sleeveless, vneck	rotes fließendes Crop-Top, Spaghettiträger, ärmellos, vneck
https://tlk.s3.yandex.net/Fashion-200K/89614931_4.jpeg	brown sturdy casual jacket, long sleeves	braune robuste Freizeitjacke, lange Ärmel
https://tlk.s3.yandex.net/Fashion-200K/91122761_4.jpeg	beige floral long sleeves formal top, loose top	beige geblümtes formelles Oberteil mit langen Ärmeln, lockeres Oberteil
https://tlk.s3.yandex.net/Fashion-200K/90154803_1.jpeg	loght blue long button shirt top, long sleeves	loght blaues Hemdtop mit langem Knopf, lange Ärmel
https://tlk.s3.yandex.net/Fashion-200K/91317594_3.jpeg	light pink electric pleated skirt, midi skirt	hellrosa elektrischer Faltenrock, Midirock
https://tlk.s3.yandex.net/Fashion-200K/91279738_1.jpeg	white long sleeves button down shirt, formal top	weißes Hemd mit langen Ärmeln und Knopfleiste, formelles Oberteil
https://tlk.s3.yandex.net/Fashion-200K/89949740_1.jpeg	black formal tunic top, sleeveless, turtle neck	schwarzes formelles Tunika-Oberteil, ärmellos, Rollkragen
https://tlk.s3.yandex.net/Fashion-200K/90826488_0.jpeg	black button down off shoulder, cotton	schwarzer Button-down schulterfrei, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/90101102_1.jpeg	long black mesh flowy skirt, formal skirt	langer fließender Rock aus schwarzem Mesh, formeller Rock
https://tlk.s3.yandex.net/Fashion-200K/90517564_1.jpeg	black long evening dress, backless, long sleeves	schwarzes langes Abendkleid, rückenfrei, lange Ärmel
https://tlk.s3.yandex.net/Fashion-200K/91351936_3.jpeg	white women's tee, short sleeves, cotton	weißes Damen-T-Shirt, kurze Ärmel, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/91210983_2.jpeg	black long evening dress, flowy dress	schwarzes langes Abendkleid, fließendes Kleid
https://tlk.s3.yandex.net/Fashion-200K/88253369_2.jpeg	beige two piece evening set, flowy pants, sleeveless jacket	beiges zweiteiliges Abendset, fließende Hose, ärmellose Jacke
https://tlk.s3.yandex.net/Fashion-200K/79589985_11.jpeg	gray midi evening dress, sleeveless, spaghetti strap	graues Midiabendkleid, ärmellos, Spaghettiträger
https://tlk.s3.yandex.net/Fashion-200K/89554613_2.jpeg	beige sleeveless formal jacket, wool, formal jacket	beige ärmellose formelle Jacke, Wolle, formelle Jacke
https://tlk.s3.yandex.net/Fashion-200K/91392049_0.jpeg	black casual top, metal detailing, vneckline	schwarzes lässiges Oberteil, Metalldetails, Ausschnitt
https://tlk.s3.yandex.net/Fashion-200K/91233749_3.jpeg	beige loose pants, string waistband, capri pants	beige weite Hose, String-Bund, Capri-Hose
https://tlk.s3.yandex.net/Fashion-200K/91391855_1.jpeg	black printed mini skirt, red love print	schwarzer bedruckter Minirock, roter Liebesdruck
https://tlk.s3.yandex.net/Fashion-200K/88421523_0.jpeg	brown tassle sleeveless jacket, sturdy material	braune ärmellose Jacke mit Quasten, robustes Material
https://tlk.s3.yandex.net/Fashion-200K/91141211_3.jpeg	blue mini dress, elbow sleeves, flowy casual dress	blaues Minikleid, Ellbogenärmel, fließendes Freizeitkleid
https://tlk.s3.yandex.net/Fashion-200K/91188486_0.jpeg	Floral print long sleeve top for women	Langarmshirt mit Blumendruck für Frauen
https://tlk.s3.yandex.net/Fashion-200K/91079457_1.jpeg	Black classy pencil skirt for women	Schwarzer klassischer Bleistiftrock für Damen
https://tlk.s3.yandex.net/Fashion-200K/91373987_0.jpeg	Brown long sleeves corduroy dress for women	Braunes Cordkleid mit langen Ärmeln für Damen
https://tlk.s3.yandex.net/Fashion-200K/90651092_1.jpeg	Pull on stright Black pants for women	Pull on stright Schwarze Hose für Damen
https://tlk.s3.yandex.net/Fashion-200K/39434471_3.jpeg	Balck pants with out belt for men	Schwarze Hose ohne Gürtel für Herren
https://tlk.s3.yandex.net/Fashion-200K/91214971_0.jpeg	Green long sleeve plaid flannel shirt for women	Grünes langärmliges kariertes Flanellhemd für Damen
https://tlk.s3.yandex.net/Fashion-200K/90840193_1.jpeg	Skinny dark leather pants for women	Dünne dunkle Lederhose für Damen
https://tlk.s3.yandex.net/Fashion-200K/90710221_2.jpeg	Long purple dress sleeveless for women	Langes lila Kleid ärmellos für Frauen
https://tlk.s3.yandex.net/Fashion-200K/91212992_0.jpeg	long white shiffon summer dress for women	langes weißes Shiffon Sommerkleid für Damen
https://tlk.s3.yandex.net/Fashion-200K/90005286_0.jpeg	Short brown faux leather jacket for women	Kurze braune Kunstlederjacke für Damen
https://tlk.s3.yandex.net/Fashion-200K/91115744_3.jpeg	sky blue viscose long sleeve dress V-neck with hip slit	himmelblaues Langarmkleid aus Viskose mit V-Ausschnitt und Hüftschlitz
https://tlk.s3.yandex.net/Fashion-200K/91404444_5.jpeg	black lace viscose top for women	schwarzes Spitzen-Viskose-Top für Damen
https://tlk.s3.yandex.net/Fashion-200K/90671966_1.jpeg	Women's Jacquard Striped Short Dress Multicolor	Damen Jacquard gestreiftes kurzes Kleid mehrfarbig
https://tlk.s3.yandex.net/Fashion-200K/90435967_2.jpeg	Photo session of black wedding dress with flowers	Fotosession des schwarzen Hochzeitskleides mit Blumen
https://tlk.s3.yandex.net/Fashion-200K/91269782_4.jpeg	Chains clinging to a curtain on a table	Ketten, die sich an einen Vorhang auf einem Tisch klammern
https://tlk.s3.yandex.net/Fashion-200K/88908708_4.jpeg	Types of pants to match sandals	Arten von Hosen passend zu Sandalen
https://tlk.s3.yandex.net/Fashion-200K/91346518_1.jpeg	Office clothing in warm colors and jewerly	Bürokleidung in warmen Farben und Schmuck
https://tlk.s3.yandex.net/Fashion-200K/91154188_3.jpeg	Green suede dress combined with black shoes	Grünes Wildlederkleid kombiniert mit schwarzen Schuhen
https://tlk.s3.yandex.net/Fashion-200K/91299374_0.jpeg	knee length black suede skirt with braids	knielanger schwarzer Wildlederrock mit Zöpfen
https://tlk.s3.yandex.net/Fashion-200K/90456008_1.jpeg	White skirt with slim waistband styles	Weißer Rock mit schmalem Bund Styles
https://tlk.s3.yandex.net/Fashion-200K/90338073_1.jpeg	Mint Green Slim Fit Chino Pants For Women	Mintgrüne Slim Fit Chinohose für Damen
https://tlk.s3.yandex.net/Fashion-200K/91102886_2.jpeg	Women's long-sleeved, black, cotton V-neck sweater	Damenpullover mit langen Ärmeln, schwarzer Baumwolle und V-Ausschnitt
https://tlk.s3.yandex.net/Fashion-200K/91066849_1.jpeg	Black curtain in various sizes for home decoration	Schwarzer Vorhang in verschiedenen Größen für die Heimdekoration
https://tlk.s3.yandex.net/Fashion-200K/18657248_0.jpeg	costume biker style different styles color black	kostüm Biker-Stil verschiedene Stile Farbe schwarz
https://tlk.s3.yandex.net/Fashion-200K/89691029_2.jpeg	Moss green silk dress for different occasions	Moosgrünes Seidenkleid für verschiedene Anlässe
https://tlk.s3.yandex.net/Fashion-200K/90801440_4.jpeg	Faux zipper style blouse in shiny brown color	Bluse im Stil eines Faux-Reißverschlusses in glänzender brauner Farbe
https://tlk.s3.yandex.net/Fashion-200K/90602938_3.jpeg	Comfortable silk fabric made into dress or trousers	Bequemer Seidenstoff zu Kleid oder Hose verarbeitet
https://tlk.s3.yandex.net/Fashion-200K/68567418_1.jpeg	white cotton men's shirt, round neck	weißes Herrenhemd aus Baumwolle, Rundhalsausschnitt
https://tlk.s3.yandex.net/Fashion-200K/54785320_3.jpeg	Warm sweater for the winter perfect dark colors	Warmer Pullover für den Winter perfekte dunkle Farben
https://tlk.s3.yandex.net/Fashion-200K/91274196_0.jpeg	Women's long sleeve shirt in bright colors	Damen Langarmshirt in leuchtenden Farben
https://tlk.s3.yandex.net/Fashion-200K/87809523_2.jpeg	Black bell-bottom style pants, past fashions	Schwarze Hose im Glockenboden-Stil, vergangene Mode
https://tlk.s3.yandex.net/Fashion-200K/91150873_0.jpeg	Women's Black Leather Zip Up V Neck Jacket	Damen schwarze Lederjacke mit Reißverschluss und V-Ausschnitt
https://tlk.s3.yandex.net/Fashion-200K/91189289_0.jpeg	Ladies sweater bag style black elegant color	Damen pullover tasche Stil schwarz elegante farbe
https://tlk.s3.yandex.net/Fashion-200K/89523910_4.jpeg	Tight fitting corinthian color pants in excellent suede	Eng anliegende korinthische Farbhose aus exzellentem Wildleder
https://tlk.s3.yandex.net/Fashion-200K/90723303_0.jpeg	Maxi Long Floral Printed Dress Multicolor V-neck	Maxi langes Kleid mit Blumenmuster Multicolor V-Ausschnitt
https://tlk.s3.yandex.net/Fashion-200K/91178341_3.jpeg	Fabrics of different sizes and textures in various colors	Stoffe in verschiedenen Größen und Texturen in verschiedenen Farben
https://tlk.s3.yandex.net/Fashion-200K/90562275_1.jpeg	flower print knee length skirt, chiffon fabric	knielanger Rock mit Blumendruck, Chiffonstoff
https://tlk.s3.yandex.net/Fashion-200K/88836200_0.jpeg	Korean skirts with elegant flower designs	Koreanische Röcke mit eleganten Blumenmustern
https://tlk.s3.yandex.net/Fashion-200K/90725824_4.jpeg	Dark colored waterproof jacket, perfect for rainy days	Dunkle wasserdichte Jacke, perfekt für regnerische Tage
https://tlk.s3.yandex.net/Fashion-200K/87748540_1.jpeg	Elegant white full suit to match with bright colors	Eleganter weißer Ganzanzug, der zu leuchtenden Farben passt
https://tlk.s3.yandex.net/Fashion-200K/91342465_0.jpeg	Full costume dark colors as in the movies	Volles Kostüm dunkle Farben wie im Film
https://tlk.s3.yandex.net/Fashion-200K/90699949_4.jpeg	Ladies White Cotton Jacket with Buttons Front Pockets	Damen weiße Baumwolljacke mit Knöpfen Vordertaschen
https://tlk.s3.yandex.net/Fashion-200K/91248777_3.jpeg	Summer styles, shorts with long-sleeved blouse	Sommerliche Styles, Shorts mit Langarmbluse
https://tlk.s3.yandex.net/Fashion-200K/90707887_2.jpeg	Top model pink dress soft fabric	Topmodell rosa Kleid weicher Stoff
https://tlk.s3.yandex.net/Fashion-200K/91133884_2.jpeg	wool striped women's vest, tied at the waist	gestreifte Damenweste aus Wolle, in der Taille gebunden
https://tlk.s3.yandex.net/Fashion-200K/89231880_2.jpeg	Elegant black dresses for different occasions	Elegante schwarze Kleider für verschiedene Anlässe
https://tlk.s3.yandex.net/Fashion-200K/91105600_3.jpeg	Stylish slim fit high rise pants for different occasions	Stylische Slim Fit High Rise Hose für verschiedene Anlässe
https://tlk.s3.yandex.net/Fashion-200K/91121172_4.jpeg	New styles, dark t-shirts, comfortable fabrics	Neue Styles, dunkle T-Shirts, bequeme Stoffe
https://tlk.s3.yandex.net/Fashion-200K/90221961_1.jpeg	Lilac dress, different sizes, looks elegant	Lila Kleid, verschiedene Größen, sieht elegant aus
https://tlk.s3.yandex.net/Fashion-200K/74235682_0.jpeg	Needlepunched style sweater for a surprise	Strickpullover im Nadelstil für eine Überraschung
https://tlk.s3.yandex.net/Fashion-200K/83373819_3.jpeg	T-shirts for the summer, color black	T-Shirts für den Sommer, Farbe schwarz
https://tlk.s3.yandex.net/Fashion-200K/91423631_1.jpeg	Casual style blouse with star design	Lässige Bluse mit Stern-Design
https://tlk.s3.yandex.net/Fashion-200K/91259162_2.jpeg	Long sleeve black shirt, combined fabrics for freshness.	Schwarzes Langarmhemd, kombinierte Stoffe für Frische.
https://tlk.s3.yandex.net/Fashion-200K/91326452_4.jpeg	Gray pants, white stripes with pouches	Graue Hose, weiße Streifen mit Beuteln
https://tlk.s3.yandex.net/Fashion-200K/90814418_3.jpeg	Elegant red dresses, excellent choices everywhere	Elegante rote Kleider, überall eine ausgezeichnete Wahl
https://tlk.s3.yandex.net/Fashion-200K/90490967_0.jpeg	Women's office wear, short dress dark colors	Damen Bürokleidung, kurzes Kleid dunkle Farben
https://tlk.s3.yandex.net/Fashion-200K/90759244_3.jpeg	Comfortable dress, with white stripes to shine	Bequemes Kleid mit weißen Streifen zum Glänzen
https://tlk.s3.yandex.net/Fashion-200K/89269582_0.jpeg	White blouse with text head love hapinnes	Weiße Bluse mit Textkopf Love hapinnes
https://tlk.s3.yandex.net/Fashion-200K/89807618_3.jpeg	White blouse, moss green pants with heels	Weiße Bluse, moosgrüne Hose mit Absatz
https://tlk.s3.yandex.net/Fashion-200K/91332049_3.jpeg	Vest that keeps you warm in winter	Weste, die dich im Winter warm hält
